Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
821	Spectrogram 1	1	22241.0	22244.0	0	12000.0	House Sparrow	houspa	0.7658	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_180000.wav	47.0
822	Spectrogram 1	1	22243.0	22246.0	0	12000.0	House Sparrow	houspa	0.5521	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_180000.wav	49.0
823	Spectrogram 1	1	22287.0	22290.0	0	12000.0	House Sparrow	houspa	0.6385	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_180500.wav	33.0
824	Spectrogram 1	1	22288.0	22291.0	0	12000.0	House Sparrow	houspa	0.5568	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_180500.wav	34.0
825	Spectrogram 1	1	22299.0	22302.0	0	12000.0	House Sparrow	houspa	0.5131	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_180500.wav	45.0
826	Spectrogram 1	1	22310.0	22313.0	0	12000.0	House Sparrow	houspa	0.6299	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_180500.wav	56.0
827	Spectrogram 1	1	22311.0	22314.0	0	12000.0	House Sparrow	houspa	0.6653	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_180500.wav	57.0
828	Spectrogram 1	1	22408.0	22411.0	0	12000.0	Dunnock	dunnoc1	0.9352	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	34.0
829	Spectrogram 1	1	22409.0	22412.0	0	12000.0	Dunnock	dunnoc1	0.9491	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	35.0
830	Spectrogram 1	1	22410.0	22413.0	0	12000.0	Dunnock	dunnoc1	0.9819	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	36.0
831	Spectrogram 1	1	22411.0	22414.0	0	12000.0	Dunnock	dunnoc1	0.9505	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	37.0
832	Spectrogram 1	1	22412.0	22415.0	0	12000.0	Dunnock	dunnoc1	0.9456	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	38.0
833	Spectrogram 1	1	22415.0	22418.0	0	12000.0	Dunnock	dunnoc1	0.8813	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	41.0
834	Spectrogram 1	1	22416.0	22419.0	0	12000.0	Dunnock	dunnoc1	0.9458	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	42.0
835	Spectrogram 1	1	22417.0	22420.0	0	12000.0	Dunnock	dunnoc1	0.9511	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	43.0
836	Spectrogram 1	1	22418.0	22421.0	0	12000.0	Dunnock	dunnoc1	0.9232	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	44.0
837	Spectrogram 1	1	22421.0	22424.0	0	12000.0	White Wagtail	whiwag	0.5005	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	47.0
838	Spectrogram 1	1	22422.0	22425.0	0	12000.0	White Wagtail	whiwag	0.6099	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240612_181500.wav	48.0
