Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1350	Spectrogram 1	1	78274.0	78277.0	0	12000.0	European Robin	eurrob1	0.5933	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	1.0
1351	Spectrogram 1	1	78275.0	78278.0	0	12000.0	European Robin	eurrob1	0.7252	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	2.0
1352	Spectrogram 1	1	78278.0	78281.0	0	12000.0	European Robin	eurrob1	0.7191	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	5.0
1353	Spectrogram 1	1	78279.0	78282.0	0	12000.0	European Robin	eurrob1	0.6897	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	6.0
1354	Spectrogram 1	1	78280.0	78283.0	0	12000.0	European Robin	eurrob1	0.6077	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	7.0
1355	Spectrogram 1	1	78281.0	78284.0	0	12000.0	European Robin	eurrob1	0.5417	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	8.0
1356	Spectrogram 1	1	78282.0	78285.0	0	12000.0	European Robin	eurrob1	0.5862	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	9.0
1357	Spectrogram 1	1	78283.0	78286.0	0	12000.0	European Robin	eurrob1	0.6040	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	10.0
1358	Spectrogram 1	1	78285.0	78288.0	0	12000.0	European Robin	eurrob1	0.5563	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	12.0
1359	Spectrogram 1	1	78288.0	78291.0	0	12000.0	European Robin	eurrob1	0.6799	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	15.0
1360	Spectrogram 1	1	78289.0	78292.0	0	12000.0	European Robin	eurrob1	0.7896	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	16.0
1361	Spectrogram 1	1	78290.0	78293.0	0	12000.0	European Robin	eurrob1	0.6802	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	17.0
1362	Spectrogram 1	1	78291.0	78294.0	0	12000.0	European Robin	eurrob1	0.7143	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	18.0
1363	Spectrogram 1	1	78292.0	78295.0	0	12000.0	European Robin	eurrob1	0.7415	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	19.0
1364	Spectrogram 1	1	78293.0	78296.0	0	12000.0	European Robin	eurrob1	0.6971	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	20.0
1365	Spectrogram 1	1	78295.0	78298.0	0	12000.0	European Robin	eurrob1	0.6589	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	22.0
1366	Spectrogram 1	1	78302.0	78305.0	0	12000.0	European Robin	eurrob1	0.7779	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	29.0
1367	Spectrogram 1	1	78303.0	78306.0	0	12000.0	European Robin	eurrob1	0.6528	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	30.0
1368	Spectrogram 1	1	78306.0	78309.0	0	12000.0	European Robin	eurrob1	0.6496	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042002.wav	33.0
1369	Spectrogram 1	1	78331.0	78334.0	0	12000.0	European Robin	eurrob1	0.7791	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	1.0
1370	Spectrogram 1	1	78332.0	78335.0	0	12000.0	European Robin	eurrob1	0.6902	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	2.0
1371	Spectrogram 1	1	78335.0	78338.0	0	12000.0	European Robin	eurrob1	0.7484	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	5.0
1372	Spectrogram 1	1	78336.0	78339.0	0	12000.0	European Robin	eurrob1	0.8586	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	6.0
1373	Spectrogram 1	1	78337.0	78340.0	0	12000.0	European Robin	eurrob1	0.7185	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	7.0
1374	Spectrogram 1	1	78342.0	78345.0	0	12000.0	European Robin	eurrob1	0.6364	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	12.0
1375	Spectrogram 1	1	78343.0	78346.0	0	12000.0	European Robin	eurrob1	0.6934	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	13.0
1376	Spectrogram 1	1	78344.0	78347.0	0	12000.0	European Robin	eurrob1	0.7935	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	14.0
1377	Spectrogram 1	1	78345.0	78348.0	0	12000.0	European Robin	eurrob1	0.6033	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	15.0
1378	Spectrogram 1	1	78346.0	78349.0	0	12000.0	European Robin	eurrob1	0.7387	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	16.0
1379	Spectrogram 1	1	78347.0	78350.0	0	12000.0	European Robin	eurrob1	0.8370	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	17.0
1380	Spectrogram 1	1	78348.0	78351.0	0	12000.0	European Robin	eurrob1	0.6234	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	18.0
1381	Spectrogram 1	1	78349.0	78352.0	0	12000.0	European Robin	eurrob1	0.5591	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	19.0
1382	Spectrogram 1	1	78350.0	78353.0	0	12000.0	European Robin	eurrob1	0.5795	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	20.0
1383	Spectrogram 1	1	78351.0	78354.0	0	12000.0	European Robin	eurrob1	0.6509	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	21.0
1384	Spectrogram 1	1	78352.0	78355.0	0	12000.0	European Robin	eurrob1	0.5798	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	22.0
1385	Spectrogram 1	1	78353.0	78356.0	0	12000.0	European Robin	eurrob1	0.6974	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	23.0
1386	Spectrogram 1	1	78358.0	78361.0	0	12000.0	European Robin	eurrob1	0.7187	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	28.0
1387	Spectrogram 1	1	78359.0	78362.0	0	12000.0	European Robin	eurrob1	0.7320	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	29.0
1388	Spectrogram 1	1	78360.0	78363.0	0	12000.0	European Robin	eurrob1	0.6758	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	30.0
1389	Spectrogram 1	1	78364.0	78367.0	0	12000.0	European Robin	eurrob1	0.7950	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	34.0
1390	Spectrogram 1	1	78365.0	78368.0	0	12000.0	European Robin	eurrob1	0.7427	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	35.0
1391	Spectrogram 1	1	78372.0	78375.0	0	12000.0	European Robin	eurrob1	0.7731	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	42.0
1392	Spectrogram 1	1	78373.0	78376.0	0	12000.0	European Robin	eurrob1	0.6892	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	43.0
1393	Spectrogram 1	1	78374.0	78377.0	0	12000.0	European Robin	eurrob1	0.7169	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	44.0
1394	Spectrogram 1	1	78375.0	78378.0	0	12000.0	European Robin	eurrob1	0.7293	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	45.0
1395	Spectrogram 1	1	78376.0	78379.0	0	12000.0	European Robin	eurrob1	0.7593	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	46.0
1396	Spectrogram 1	1	78377.0	78380.0	0	12000.0	European Robin	eurrob1	0.7625	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	47.0
1397	Spectrogram 1	1	78380.0	78383.0	0	12000.0	European Robin	eurrob1	0.8361	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	50.0
1398	Spectrogram 1	1	78381.0	78384.0	0	12000.0	European Robin	eurrob1	0.8085	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	51.0
1399	Spectrogram 1	1	78382.0	78385.0	0	12000.0	European Robin	eurrob1	0.7166	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	52.0
1400	Spectrogram 1	1	78383.0	78386.0	0	12000.0	European Robin	eurrob1	0.8011	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	53.0
1401	Spectrogram 1	1	78384.0	78387.0	0	12000.0	European Robin	eurrob1	0.8306	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	54.0
1402	Spectrogram 1	1	78385.0	78388.0	0	12000.0	European Robin	eurrob1	0.7821	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_042502.wav	55.0
1403	Spectrogram 1	1	78503.0	78506.0	0	12000.0	Eurasian Wren	winwre4	0.6830	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240623_044002.wav	2.0
