Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
234	Spectrogram 1	1	50888.0	50891.0	0	12000.0	European Robin	eurrob1	0.8520	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240614_121500.wav	17.0
235	Spectrogram 1	1	50889.0	50892.0	0	12000.0	European Robin	eurrob1	0.8402	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240614_121500.wav	18.0
236	Spectrogram 1	1	50890.0	50893.0	0	12000.0	European Robin	eurrob1	0.8491	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240614_121500.wav	19.0
237	Spectrogram 1	1	54795.0	54798.0	0	12000.0	Mallard	mallar3	0.5132	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240614_174000.wav	24.0
238	Spectrogram 1	1	57445.0	57448.0	0	12000.0	Peregrine Falcon	perfal	0.5035	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240614_212002.wav	52.0
239	Spectrogram 1	1	60946.0	60949.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5932	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_023002.wav	19.0
240	Spectrogram 1	1	61583.0	61586.0	0	12000.0	Herring Gull	hergul	0.5894	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_032502.wav	29.0
241	Spectrogram 1	1	61584.0	61587.0	0	12000.0	Herring Gull	hergul	0.5398	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_032502.wav	30.0
242	Spectrogram 1	1	61585.0	61588.0	0	12000.0	Herring Gull	hergul	0.6030	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_032502.wav	31.0
243	Spectrogram 1	1	62011.0	62014.0	0	12000.0	Herring Gull	hergul	0.6261	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_040502.wav	1.0
244	Spectrogram 1	1	63754.0	63757.0	0	12000.0	Dunnock	dunnoc1	0.5680	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_063000.wav	46.0
245	Spectrogram 1	1	64075.0	64078.0	0	12000.0	Eurasian Curlew	eurcur	0.6153	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_070000.wav	7.0
246	Spectrogram 1	1	64076.0	64079.0	0	12000.0	Eurasian Curlew	eurcur	0.6488	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_070000.wav	8.0
247	Spectrogram 1	1	66054.0	66057.0	0	12000.0	Eurasian Blackbird	eurbla	0.5669	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_094500.wav	6.0
248	Spectrogram 1	1	66055.0	66058.0	0	12000.0	Eurasian Blackbird	eurbla	0.5457	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_094500.wav	7.0
249	Spectrogram 1	1	66063.0	66066.0	0	12000.0	Eurasian Blackbird	eurbla	0.5002	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_094500.wav	15.0
250	Spectrogram 1	1	66064.0	66067.0	0	12000.0	Eurasian Blackbird	eurbla	0.5633	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_094500.wav	16.0
251	Spectrogram 1	1	66065.0	66068.0	0	12000.0	Eurasian Blackbird	eurbla	0.5247	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_094500.wav	17.0
252	Spectrogram 1	1	66172.0	66175.0	0	12000.0	Eurasian Blackbird	eurbla	0.5850	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_095500.wav	4.0
253	Spectrogram 1	1	66187.0	66190.0	0	12000.0	Eurasian Blackbird	eurbla	0.6928	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_095500.wav	19.0
254	Spectrogram 1	1	66191.0	66194.0	0	12000.0	Eurasian Blackbird	eurbla	0.5635	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240615_095500.wav	23.0
