Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
34	Spectrogram 1	1	10879.0	10882.0	0	12000.0	European Robin	eurrob1	0.6225	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_034002.wav	22.0
35	Spectrogram 1	1	11031.0	11034.0	0	12000.0	European Robin	eurrob1	0.7017	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	3.0
36	Spectrogram 1	1	11032.0	11035.0	0	12000.0	European Robin	eurrob1	0.7040	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	4.0
37	Spectrogram 1	1	11036.0	11039.0	0	12000.0	European Robin	eurrob1	0.6359	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	8.0
38	Spectrogram 1	1	11037.0	11040.0	0	12000.0	European Robin	eurrob1	0.5031	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	9.0
39	Spectrogram 1	1	11043.0	11046.0	0	12000.0	European Robin	eurrob1	0.5542	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	15.0
40	Spectrogram 1	1	11050.0	11053.0	0	12000.0	European Robin	eurrob1	0.7524	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	22.0
41	Spectrogram 1	1	11051.0	11054.0	0	12000.0	European Robin	eurrob1	0.7624	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	23.0
42	Spectrogram 1	1	11060.0	11063.0	0	12000.0	European Robin	eurrob1	0.6185	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	32.0
43	Spectrogram 1	1	11061.0	11064.0	0	12000.0	European Robin	eurrob1	0.5764	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_035502.wav	33.0
